,tweet_id,retweet_count,favorite_count
139,863553081350529029,3919,14520
140,863471782782697472,2269,0
141,863432100342583297,4903,22601
142,863427515083354112,89,2095
143,863079547188785154,1038,8356
144,863062471531167744,2269,8033
145,862831371563274240,4822,18263
146,862722525377298433,3307,16280
147,862457590147678208,4615,19456
148,862096992088072192,21668,70637
149,861383897657036800,10041,34363
150,861288531465048066,3881,16355
151,861005113778896900,3578,15921
152,860981674716409858,2014,0
153,860924035999428608,749,0
154,860563773140209665,2014,7146
155,860524505164394496,4987,22575
156,860276583193509888,3296,17542
157,860184849394610176,5495,15924
158,860177593139703809,29131,0
159,859924526012018688,3869,18716
160,859851578198683649,3310,14753
161,859607811541651456,1473,17813
162,859196978902773760,28440,85851
163,859074603037188101,12866,32365
164,858860390427611136,7663,0
165,858843525470990336,3292,14941
166,858471635011153920,4602,20626
167,858107933456039936,2744,15116
168,857989990357356544,2459,15444
169,857746408056729600,10085,32883
170,857393404942143489,1559,5650
171,857263160327368704,4292,19272
172,857214891891077121,17,216
173,857062103051644929,161,0
174,857029823797047296,3781,18122
175,856543823941562368,2744,15707
176,856526610513747968,1787,11430
177,856330835276025856,639,0
178,856288084350160898,15,495
179,856282028240666624,6004,26753
180,855862651834028034,24,324
181,855860136149123072,934,4744
182,855857698524602368,2016,11459
183,855851453814013952,17241,44188
184,855818117272018944,5191,25743
185,855459453768019968,7876,28784
186,855245323840757760,5704,0
187,855138241867124737,43,0
188,854732716440526848,5817,22013
189,854482394044301312,6587,28351
190,854365224396361728,4509,18313
191,854120357044912130,7172,31027
192,854010172552949760,3028,15741
193,853760880890318849,5532,27738
194,853639147608842240,9681,33655
195,853299958564483072,3437,15068
196,852936405516943360,1925,0
197,852912242202992640,1748,8782
198,852672615818899456,2082,14510
199,852553447878664193,3350,15874
200,852311364735569921,9617,32304
201,852226086759018497,6630,19483
202,852189679701164033,1542,11176
203,851861385021730816,19,0
204,851591660324737024,3366,15879
205,851464819735769094,6848,23694
206,851224888060895234,5574,20225
207,850753642995093505,8855,30123
208,850380195714523136,2536,12818
209,850333567704068097,319,3379
210,850145622816686080,3692,15990
211,850019790995546112,4741,19965
212,849776966551130114,7386,29798
213,849668094696017920,4823,0
214,849412302885593088,3078,15558
215,849336543269576704,1850,11197
216,849051919805034497,8255,41525
217,848690551926992896,4224,24709
218,848324959059550208,4503,24229
219,848213670039564288,711,8025
220,848212111729840128,2963,16012
221,847978865427394560,3181,0
222,847971574464610304,422,0
223,847962785489326080,4953,23102
224,847842811428974592,1296,5340
225,847617282490613760,404,6865
226,847606175596138505,3356,18465
227,847251039262605312,4227,20162
228,847157206088847362,5735,19569
229,847116187444137987,3116,21126
230,846874817362120707,3850,19783
231,846514051647705089,11302,43913
232,846505985330044928,3010,13894
233,846153765933735936,8856,31115
234,846139713627017216,9834,30607
235,846042936437604353,2805,15738
236,845812042753855489,8522,28802
237,845677943972139009,4708,24836
238,845397057150107648,1766,7519
239,845306882940190720,5295,23019
240,845098359547420673,7515,0
241,844979544864018432,2513,13456
242,844973813909606400,3129,14874
243,844580511645339650,3068,16268
244,844223788422217728,2162,13489
245,843981021012017153,2902,15007
246,843856843873095681,4550,21198
247,843604394117681152,2698,16684
248,843235543001513987,5929,21281
249,842846295480000512,3589,15116
250,842765311967449089,1259,6655
251,842535590457499648,3461,17924
252,842163532590374912,5703,24177
253,842115215311396866,2994,13845
254,841833993020538882,14858,0
255,841680585030541313,7712,25492
256,841439858740625411,3637,12522
257,841320156043304961,5434,19621
258,841314665196081154,4596,15690
259,841077006473256960,5246,22654
260,840761248237133825,1747,0
261,840728873075638272,15919,0
262,840698636975636481,2,173
263,840696689258311684,962,12184
264,840632337062862849,1747,8923
265,840370681858686976,4493,16314
266,840268004936019968,5661,19118
267,839990271299457024,2253,13314
268,839549326359670784,7663,27273
269,839290600511926273,141,0
270,839239871831150596,6460,26924
271,838952994649550848,3955,19528
272,838921590096166913,2044,11074
273,838916489579200512,35,0
274,838831947270979586,10899,0
275,838561493054533637,1322,10876
276,838476387338051585,4726,22363
277,838201503651401729,9954,0
278,838150277551247360,329,1664
279,838085839343206401,1,138
280,838083903487373313,3104,17502
281,837820167694528512,7793,33910
282,837482249356513284,440,3832
283,837471256429613056,2257,12707
284,837110210464448512,2347,15977
285,836989968035819520,2278,12701
286,836753516572119041,4611,19244
287,836677758902222849,2213,12555
288,836648853927522308,554,0
289,836397794269200385,27332,0
290,836380477523124226,2970,14701
291,836260088725786625,4273,21221
292,836001077879255040,4232,19011
293,835685285446955009,8078,0
294,835574547218894849,3598,17727
295,835536468978302976,1689,0
296,835309094223372289,20812,0
297,835297930240217089,2993,16421
298,835264098648616962,1689,7714
299,835246439529840640,73,2090
300,835172783151792128,5739,26080
301,835152434251116546,2997,22327
302,834931633769889797,1632,10768
303,834786237630337024,5469,21304
